2019-04-16 23:47:41.097 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.label.dao.image.ImageLabelMarkRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-16 23:47:41.097 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.label.dao.image.ImageLabelMarkRepositoryTest]: ImageLabelMarkRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-16 23:47:41.111 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.label.LabelApplication for test class com.label.dao.image.ImageLabelMarkRepositoryTest
2019-04-16 23:47:41.113 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-16 23:47:41.114 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@e5864c2, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@577cf459, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@432eb882, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@69372c1e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@24842b8e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@146add7b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@22368ddc, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@72b10258, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@77ec9fdb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@35af1558, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2361365c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@59b853aa]
2019-04-16 23:47:41.363 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.label.dao.RoleRepositoryTest], using SpringBootContextLoader
2019-04-16 23:47:41.364 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.label.dao.RoleRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-16 23:47:41.364 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.label.dao.RoleRepositoryTest]: RoleRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-16 23:47:41.366 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.label.LabelApplication for test class com.label.dao.RoleRepositoryTest
2019-04-16 23:47:41.368 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-16 23:47:41.369 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@12bcf7c6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5e763c07, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2066e897, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1123d461, org.springframework.test.context.support.DirtiesContextTestExecutionListener@64540344, org.springframework.test.context.transaction.TransactionalTestExecutionListener@b2d8dcd, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1c98fe6f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1397b141, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@579dde54, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@30b9728f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6b899971, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@453a30f8]
2019-04-16 23:47:41.606 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.label.LabelApplicationTests], using SpringBootContextLoader
2019-04-16 23:47:41.608 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.label.LabelApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-16 23:47:41.610 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.label.LabelApplicationTests]: LabelApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-16 23:47:41.618 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.label.LabelApplication for test class com.label.LabelApplicationTests
